Dia,mes,ano,Tmed,Tmin ,Tmax ,URmed,URmin,URmax,Vv2m,Hg,P,ETo,ETc,
*Dia ,Mês,Ano,(°C),(°C),(°C),(%),(%),(%),(m/s),(MJ m-2),(mm),(mm),(mm),
1,6,2019,24.45,21.63,29.07,83.50,59.42,94.10,1.11,15.71,0.00,3.18,1.11,
2,6,2019,24.11,19.86,29.64,77.17,46.80,95.70,1.22,20.34,2.03,4.16,1.46,
3,6,2019,24.19,19.56,29.95,79.32,48.21,94.40,1.50,19.56,0.00,4.18,1.46,
4,6,2019,24.10,20.19,30.07,79.57,50.09,94.10,1.24,15.74,0.00,3.44,1.21,
5,6,2019,24.07,19.95,29.83,80.17,53.22,93.80,1.33,17.21,0.00,3.64,1.27,
6,6,2019,24.10,20.30,29.59,79.12,49.26,94.60,1.35,18.66,6.86,3.93,1.38,
7,6,2019,24.18,20.33,29.17,80.75,54.30,94.40,1.37,17.10,9.91,3.58,1.25,
8,6,2019,23.39,20.42,28.81,87.97,63.80,94.40,1.13,14.39,4.83,2.88,1.01, 
9,6,2019,23.55,20.79,28.69,86.21,59.14,94.40,1.25,14.91,4.83,3.09,1.08,
10,6,2019,23.95,20.81,28.65,83.50,59.93,94.20,1.48,15.39,1.27,3.23,1.13,
11,6,2019,23.88,20.40,28.59,81.27,53.78,94.50,1.33,15.61,11.18,3.31,1.16,
12,6,2019,23.65,20.17,29.42,84.91,56.45,94.50,1.48,14.87,29.97,3.25,1.14,
13,6,2019,23.07,21.34,27.55,91.57,79.73,95.60,1.34,6.88,9.40,1.46,0.51,
14,6,2019,24.30,21.47,28.83,81.53,55.53,95.40,1.53,16.64,9.14,3.53,1.23,
15,6,2019,23.90,20.99,27.68,80.93,61.68,92.80,1.74,9.18,8.13,2.33,0.82,
16,6,2019,24.24,21.85,27.97,80.55,61.64,93.20,1.71,10.71,64.52,2.56,0.89,
17,6,2019,23.01,22.07,27.11,91.45,72.10,93.90,1.72,5.91,8.38,1.57,0.55,
18,6,2019,23.99,20.99,28.78,82.94,55.92,94.20,1.44,15.90,0.25,3.38,1.18,
19,6,2019,23.51,19.71,28.57,80.37,58.11,93.10,1.41,17.63,1.27,3.58,1.25,
20,6,2019,22.96,20.01,27.38,74.17,60.31,93.80,1.10,13.41,0.00,2.80,0.98,
21,6,2019,23.50,19.48,28.94,79.54,52.86,93.70,1.40,17.31,7.62,3.64,1.27,
22,6,2019,23.47,20.24,28.69,83.48,59.18,93.10,1.61,16.55,1.78,3.47,1.22,
23,6,2019,22.35,19.32,27.00,84.04,62.13,93.40,1.34,13.50,1.78,2.77,0.97,
24,6,2019,22.92,19.21,27.86,81.47,58.20,90.30,1.32,15.44,0.25,3.20,1.12,
25,6,2019,23.10,19.48,28.38,80.49,56.58,93.30,1.43,17.74,7.11,3.61,1.26,
26,6,2019,23.39,19.49,28.28,81.13,62.23,92.20,1.89,17.15,10.41,3.56,1.25,
27,6,2019,23.00,18.98,27.29,84.02,63.38,93.10,1.73,11.27,8.89,2.56,0.90,
28,6,2019,22.71,19.41,27.18,86.65,66.46,93.10,1.42,14.17,10.41,2.82,0.99,
29,6,2019,23.61,22.12,27.57,84.66,65.34,93.30,1.75,12.84,17.27,2.78,0.97,
30,6,2019,23.16,20.38,27.32,83.11,57.67,93.70,1.49,13.79,0.00,2.97,1.04,
1,7,2019,22.58,19.50,27.59,86.08,66.21,93.70,1.22,12.18,7.37,2.48,0.87,
2,7,2019,23.61,20.09,28.56,81.18,51.68,93.60,1.13,16.79,0.51,3.44,1.21,
