*DSV program by Marcos Alex
*Find below the values of dvs calculated with information taken from the following files
*meteorological file name : dados_meteo.csv
*crop file name           : cassava.w41
******************************
*Date           DAP    DVS     
******************************
27-06-2019        0   0.00
28-06-2019        1   0.00
29-06-2019        2   0.00
30-06-2019        3   0.00
01-07-2019        4   0.00
02-07-2019        5   0.00
03-07-2019        6   0.00
04-07-2019        7   0.00
05-07-2019        8   0.00
06-07-2019        9   0.00
07-07-2019       10   0.00
08-07-2019       11   0.00
09-07-2019       12   0.00
10-07-2019       13   0.00
11-07-2019       14   0.01
12-07-2019       15   0.02
13-07-2019       16   0.03
14-07-2019       17   0.04
15-07-2019       18   0.06
16-07-2019       19   0.07
17-07-2019       20   0.08
18-07-2019       21   0.09
19-07-2019       22   0.10
20-07-2019       23   0.11
21-07-2019       24   0.12
22-07-2019       25   0.13
23-07-2019       26   0.15
24-07-2019       27   0.16
25-07-2019       28   0.17
26-07-2019       29   0.18
27-07-2019       30   0.19
28-07-2019       31   0.20
29-07-2019       32   0.21
30-07-2019       33   0.22
31-07-2019       34   0.23
01-08-2019       35   0.24
02-08-2019       36   0.25
03-08-2019       37   0.26
04-08-2019       38   0.27
05-08-2019       39   0.28
06-08-2019       40   0.30
07-08-2019       41   0.31
08-08-2019       42   0.32
09-08-2019       43   0.33
10-08-2019       44   0.34
11-08-2019       45   0.35
12-08-2019       46   0.36
13-08-2019       47   0.37
14-08-2019       48   0.38
15-08-2019       49   0.39
16-08-2019       50   0.41
17-08-2019       51   0.42
18-08-2019       52   0.43
19-08-2019       53   0.44
20-08-2019       54   0.45
21-08-2019       55   0.46
22-08-2019       56   0.47
23-08-2019       57   0.48
24-08-2019       58   0.49
25-08-2019       59   0.51
26-08-2019       60   0.52
27-08-2019       61   0.53
28-08-2019       62   0.54
29-08-2019       63   0.55
30-08-2019       64   0.56
31-08-2019       65   0.57
01-09-2019       66   0.58
02-09-2019       67   0.60
03-09-2019       68   0.61
04-09-2019       69   0.62
05-09-2019       70   0.63
06-09-2019       71   0.64
07-09-2019       72   0.65
08-09-2019       73   0.67
09-09-2019       74   0.68
10-09-2019       75   0.69
11-09-2019       76   0.70
12-09-2019       77   0.72
13-09-2019       78   0.73
14-09-2019       79   0.74
15-09-2019       80   0.75
16-09-2019       81   0.76
17-09-2019       82   0.78
18-09-2019       83   0.79
19-09-2019       84   0.80
20-09-2019       85   0.81
21-09-2019       86   0.82
22-09-2019       87   0.84
23-09-2019       88   0.85
24-09-2019       89   0.86
25-09-2019       90   0.88
26-09-2019       91   0.89
27-09-2019       92   0.90
28-09-2019       93   0.91
29-09-2019       94   0.93
30-09-2019       95   0.94
01-10-2019       96   0.96
02-10-2019       97   0.97
03-10-2019       98   0.98
04-10-2019       99   1.00
05-10-2019      100   1.01
06-10-2019      101   1.01
07-10-2019      102   1.02
08-10-2019      103   1.02
09-10-2019      104   1.03
10-10-2019      105   1.03
11-10-2019      106   1.04
12-10-2019      107   1.04
13-10-2019      108   1.05
14-10-2019      109   1.05
15-10-2019      110   1.06
16-10-2019      111   1.06
17-10-2019      112   1.07
18-10-2019      113   1.07
19-10-2019      114   1.07
20-10-2019      115   1.08
21-10-2019      116   1.09
22-10-2019      117   1.09
23-10-2019      118   1.10
24-10-2019      119   1.10
25-10-2019      120   1.11
26-10-2019      121   1.11
27-10-2019      122   1.12
28-10-2019      123   1.12
29-10-2019      124   1.13
30-10-2019      125   1.13
31-10-2019      126   1.13
01-11-2019      127   1.14
02-11-2019      128   1.14
03-11-2019      129   1.15
04-11-2019      130   1.15
05-11-2019      131   1.16
06-11-2019      132   1.16
07-11-2019      133   1.17
08-11-2019      134   1.18
09-11-2019      135   1.18
10-11-2019      136   1.19
11-11-2019      137   1.19
12-11-2019      138   1.20
13-11-2019      139   1.20
14-11-2019      140   1.21
15-11-2019      141   1.21
16-11-2019      142   1.22
17-11-2019      143   1.22
18-11-2019      144   1.23
19-11-2019      145   1.23
20-11-2019      146   1.24
21-11-2019      147   1.24
22-11-2019      148   1.25
23-11-2019      149   1.25
24-11-2019      150   1.26
25-11-2019      151   1.26
26-11-2019      152   1.27
27-11-2019      153   1.28
28-11-2019      154   1.28
29-11-2019      155   1.29
30-11-2019      156   1.29
01-12-2019      157   1.30
02-12-2019      158   1.30
03-12-2019      159   1.31
04-12-2019      160   1.31
05-12-2019      161   1.32
06-12-2019      162   1.33
07-12-2019      163   1.33
08-12-2019      164   1.34
09-12-2019      165   1.34
10-12-2019      166   1.35
11-12-2019      167   1.35
12-12-2019      168   1.36
13-12-2019      169   1.37
14-12-2019      170   1.37
15-12-2019      171   1.38
16-12-2019      172   1.38
17-12-2019      173   1.39
18-12-2019      174   1.39
19-12-2019      175   1.40
20-12-2019      176   1.40
21-12-2019      177   1.41
22-12-2019      178   1.41
23-12-2019      179   1.42
24-12-2019      180   1.42
25-12-2019      181   1.43
26-12-2019      182   1.44
27-12-2019      183   1.44
28-12-2019      184   1.45
29-12-2019      185   1.45
30-12-2019      186   1.46
31-12-2019      187   1.46
01-01-2020      188   1.47
02-01-2020      189   1.48
03-01-2020      190   1.48
04-01-2020      191   1.49
05-01-2020      192   1.49
06-01-2020      193   1.50
07-01-2020      194   1.50
08-01-2020      195   1.51
09-01-2020      196   1.52
10-01-2020      197   1.52
11-01-2020      198   1.53
12-01-2020      199   1.53
13-01-2020      200   1.54
14-01-2020      201   1.55
15-01-2020      202   1.55
16-01-2020      203   1.56
17-01-2020      204   1.56
18-01-2020      205   1.57
19-01-2020      206   1.57
20-01-2020      207   1.58
21-01-2020      208   1.58
22-01-2020      209   1.59
23-01-2020      210   1.60
24-01-2020      211   1.60
25-01-2020      212   1.61
26-01-2020      213   1.62
27-01-2020      214   1.62
28-01-2020      215   1.63
29-01-2020      216   1.63
30-01-2020      217   1.64
31-01-2020      218   1.64
01-02-2020      219   1.65
02-02-2020      220   1.66
03-02-2020      221   1.66
04-02-2020      222   1.67
05-02-2020      223   1.67
06-02-2020      224   1.68
07-02-2020      225   1.69
08-02-2020      226   1.69
09-02-2020      227   1.70
10-02-2020      228   1.70
11-02-2020      229   1.71
12-02-2020      230   1.72
13-02-2020      231   1.72
14-02-2020      232   1.73
15-02-2020      233   1.73
16-02-2020      234   1.74
17-02-2020      235   1.74
18-02-2020      236   1.75
19-02-2020      237   1.76
20-02-2020      238   1.76
21-02-2020      239   1.77
22-02-2020      240   1.77
23-02-2020      241   1.78
24-02-2020      242   1.78
25-02-2020      243   1.79
26-02-2020      244   1.80
27-02-2020      245   1.80
28-02-2020      246   1.81
29-02-2020      247   1.82
01-03-2020      248   1.82
02-03-2020      249   1.83
03-03-2020      250   1.83
04-03-2020      251   1.84
05-03-2020      252   1.85
06-03-2020      253   1.85
07-03-2020      254   1.86
08-03-2020      255   1.86
09-03-2020      256   1.87
10-03-2020      257   1.88
11-03-2020      258   1.88
12-03-2020      259   1.89
