-------------------------------------------
        Data  DAP       DVS
-------------------------------------------
  28-06-2019    1     0.000
  29-06-2019    2     0.000
  30-06-2019    3     0.000
  01-07-2019    4     0.000
  02-07-2019    5     0.000
  03-07-2019    6     0.000
  04-07-2019    7     0.000
  05-07-2019    8     0.000
  06-07-2019    9     0.000
  07-07-2019   10     0.000
  08-07-2019   11     0.000
  09-07-2019   12     0.000
  10-07-2019   13     0.000
  11-07-2019   14     0.000
  12-07-2019   15     0.012
  13-07-2019   16     0.024
  14-07-2019   17     0.033
  15-07-2019   18     0.045
  16-07-2019   19     0.056
  17-07-2019   20     0.066
  18-07-2019   21     0.077
  19-07-2019   22     0.090
  20-07-2019   23     0.101
  21-07-2019   24     0.112
  22-07-2019   25     0.123
  23-07-2019   26     0.134
  24-07-2019   27     0.146
  25-07-2019   28     0.156
  26-07-2019   29     0.168
  27-07-2019   30     0.177
  28-07-2019   31     0.187
  29-07-2019   32     0.198
  30-07-2019   33     0.209
  31-07-2019   34     0.220
  01-08-2019   35     0.231
  02-08-2019   36     0.240
  03-08-2019   37     0.251
  04-08-2019   38     0.261
  05-08-2019   39     0.272
  06-08-2019   40     0.284
  07-08-2019   41     0.296
  08-08-2019   42     0.307
  09-08-2019   43     0.317
  10-08-2019   44     0.328
  11-08-2019   45     0.340
  12-08-2019   46     0.352
  13-08-2019   47     0.362
  14-08-2019   48     0.373
  15-08-2019   49     0.383
  16-08-2019   50     0.395
  17-08-2019   51     0.405
  18-08-2019   52     0.416
  19-08-2019   53     0.428
  20-08-2019   54     0.439
  21-08-2019   55     0.450
  22-08-2019   56     0.460
  23-08-2019   57     0.471
  24-08-2019   58     0.482
  25-08-2019   59     0.493
  26-08-2019   60     0.505
  27-08-2019   61     0.517
  28-08-2019   62     0.529
  29-08-2019   63     0.539
  30-08-2019   64     0.549
  31-08-2019   65     0.559
  01-09-2019   66     0.571
  02-09-2019   67     0.583
  03-09-2019   68     0.595
  04-09-2019   69     0.608
  05-09-2019   70     0.619
  06-09-2019   71     0.631
  07-09-2019   72     0.643
  08-09-2019   73     0.654
  09-09-2019   74     0.666
  10-09-2019   75     0.678
  11-09-2019   76     0.691
  12-09-2019   77     0.703
  13-09-2019   78     0.716
  14-09-2019   79     0.728
  15-09-2019   80     0.740
  16-09-2019   81     0.752
  17-09-2019   82     0.765
  18-09-2019   83     0.776
  19-09-2019   84     0.789
  20-09-2019   85     0.801
  21-09-2019   86     0.812
  22-09-2019   87     0.825
  23-09-2019   88     0.838
  24-09-2019   89     0.851
  25-09-2019   90     0.864
  26-09-2019   91     0.876
  27-09-2019   92     0.888
  28-09-2019   93     0.901
  29-09-2019   94     0.914
  30-09-2019   95     0.928
  01-10-2019   96     0.942
  02-10-2019   97     0.955
  03-10-2019   98     0.969
  04-10-2019   99     0.982
  05-10-2019  100     0.996
  06-10-2019  101     1.009
  07-10-2019  102     1.014
  08-10-2019  103     1.018
  09-10-2019  104     1.023
  10-10-2019  105     1.027
  11-10-2019  106     1.032
  12-10-2019  107     1.036
  13-10-2019  108     1.041
  14-10-2019  109     1.045
  15-10-2019  110     1.049
  16-10-2019  111     1.054
  17-10-2019  112     1.058
  18-10-2019  113     1.063
  19-10-2019  114     1.067
  20-10-2019  115     1.071
  21-10-2019  116     1.076
  22-10-2019  117     1.080
  23-10-2019  118     1.084
  24-10-2019  119     1.089
  25-10-2019  120     1.093
  26-10-2019  121     1.098
  27-10-2019  122     1.102
  28-10-2019  123     1.106
  29-10-2019  124     1.111
  30-10-2019  125     1.115
  31-10-2019  126     1.120
  01-11-2019  127     1.124
  02-11-2019  128     1.129
  03-11-2019  129     1.134
  04-11-2019  130     1.139
  05-11-2019  131     1.144
  06-11-2019  132     1.149
  07-11-2019  133     1.154
  08-11-2019  134     1.159
  09-11-2019  135     1.164
  10-11-2019  136     1.169
  11-11-2019  137     1.175
  12-11-2019  138     1.180
  13-11-2019  139     1.185
  14-11-2019  140     1.190
  15-11-2019  141     1.195
  16-11-2019  142     1.200
  17-11-2019  143     1.205
  18-11-2019  144     1.210
  19-11-2019  145     1.215
  20-11-2019  146     1.220
  21-11-2019  147     1.225
  22-11-2019  148     1.230
  23-11-2019  149     1.235
  24-11-2019  150     1.240
  25-11-2019  151     1.246
  26-11-2019  152     1.251
  27-11-2019  153     1.256
  28-11-2019  154     1.261
  29-11-2019  155     1.266
  30-11-2019  156     1.271
  01-12-2019  157     1.276
  02-12-2019  158     1.281
  03-12-2019  159     1.287
  04-12-2019  160     1.293
  05-12-2019  161     1.299
  06-12-2019  162     1.304
  07-12-2019  163     1.310
  08-12-2019  164     1.316
  09-12-2019  165     1.323
  10-12-2019  166     1.328
  11-12-2019  167     1.334
  12-12-2019  168     1.339
  13-12-2019  169     1.345
  14-12-2019  170     1.351
  15-12-2019  171     1.356
  16-12-2019  172     1.362
  17-12-2019  173     1.368
  18-12-2019  174     1.373
  19-12-2019  175     1.379
  20-12-2019  176     1.385
  21-12-2019  177     1.390
  22-12-2019  178     1.396
  23-12-2019  179     1.402
  24-12-2019  180     1.407
  25-12-2019  181     1.413
  26-12-2019  182     1.419
  27-12-2019  183     1.424
  28-12-2019  184     1.430
  29-12-2019  185     1.436
  30-12-2019  186     1.441
  31-12-2019  187     1.447
  01-01-2020  188     1.453
  02-01-2020  189     1.458
  03-01-2020  190     1.464
  04-01-2020  191     1.470
  05-01-2020  192     1.476
  06-01-2020  193     1.482
  07-01-2020  194     1.488
  08-01-2020  195     1.493
  09-01-2020  196     1.499
  10-01-2020  197     1.505
  11-01-2020  198     1.511
  12-01-2020  199     1.516
  13-01-2020  200     1.522
  14-01-2020  201     1.528
  15-01-2020  202     1.534
  16-01-2020  203     1.539
  17-01-2020  204     1.545
  18-01-2020  205     1.551
  19-01-2020  206     1.557
  20-01-2020  207     1.562
  21-01-2020  208     1.568
  22-01-2020  209     1.574
  23-01-2020  210     1.580
  24-01-2020  211     1.586
  25-01-2020  212     1.591
  26-01-2020  213     1.598
  27-01-2020  214     1.604
  28-01-2020  215     1.610
  29-01-2020  216     1.616
  30-01-2020  217     1.622
  31-01-2020  218     1.627
  01-02-2020  219     1.633
  02-02-2020  220     1.639
  03-02-2020  221     1.645
  04-02-2020  222     1.651
  05-02-2020  223     1.657
  06-02-2020  224     1.663
  07-02-2020  225     1.669
  08-02-2020  226     1.675
  09-02-2020  227     1.681
  10-02-2020  228     1.687
  11-02-2020  229     1.693
  12-02-2020  230     1.699
  13-02-2020  231     1.704
  14-02-2020  232     1.710
  15-02-2020  233     1.716
  16-02-2020  234     1.721
  17-02-2020  235     1.727
  18-02-2020  236     1.733
  19-02-2020  237     1.739
  20-02-2020  238     1.745
  21-02-2020  239     1.750
  22-02-2020  240     1.755
  23-02-2020  241     1.761
  24-02-2020  242     1.767
  25-02-2020  243     1.773
  26-02-2020  244     1.779
  27-02-2020  245     1.785
  28-02-2020  246     1.791
  29-02-2020  247     1.798
  01-03-2020  248     1.804
  02-03-2020  249     1.810
  03-03-2020  250     1.815
  04-03-2020  251     1.821
  05-03-2020  252     1.828
  06-03-2020  253     1.834
  07-03-2020  254     1.841
  08-03-2020  255     1.847
  09-03-2020  256     1.853
  10-03-2020  257     1.859
  11-03-2020  258     1.864
  12-03-2020  259     1.870
  13-03-2020  260     1.875
  14-03-2020  261     1.881
  15-03-2020  262     1.886
  16-03-2020  263     1.891
  17-03-2020  264     1.896
  18-03-2020  265     1.901
  19-03-2020  266     1.907
  20-03-2020  267     1.913
  21-03-2020  268     1.919
  22-03-2020  269     1.925
  23-03-2020  270     1.932
  24-03-2020  271     1.938
  25-03-2020  272     1.944
  26-03-2020  273     1.950
  27-03-2020  274     1.956
  28-03-2020  275     1.961
  29-03-2020  276     1.966
  30-03-2020  277     1.971
  31-03-2020  278     1.976
  01-04-2020  279     1.982
  02-04-2020  280     1.987
  03-04-2020  281     1.993
  04-04-2020  282     1.999
  05-04-2020  283     2.005
